Name;Age;Boarded;Position;Lifeboat;Body;Sex;Class;Group
Chaffee, Mr. Herbert Fuller;46;S;1classPass;;;m;1;1c0ser
Chaffee, Mrs. Carrie Constance (née Toogood);47;S;1classPass;4;;f;1;1c0ser
Chambers, Mr. Norman Campbell;27;S;1classPass;5;;m;1;1c0ser
Chambers, Mrs. Bertha (née Griggs);32;S;1classPass;5;;f;1;1c0ser
Cherry, Miss Gladys;30;S;1classPass;8;;f;1;1c0ser
Chevré, Mr. Paul Romaine Marie Léonce;45;C;1classPass;7;;m;1;1c0ser
Chibnall, Mrs. Edith Martha Bowerman (née Barber);48;S;1classPass;6;;f;1;1c0ser
Chisholm, Mr. Roderick Robert Crispin[64];40;B;1classPass;;;m;1;1c0ser
Clark, Mr. Walter Miller;27;C;1classPass;;;m;1;1c0ser
Clark, Mrs. Virginia Estelle (née McDowell);26;C;1classPass;4;;f;1;1c0ser
Clifford, Mr. George Quincy;40;S;1classPass;;;m;1;1c0ser
Colley, Mr. Edward Pomeroy;37;S;1classPass;;;m;1;1c0ser
Compton, Mrs. Mary Eliza (née Ingersoll);64;C;1classPass;14;;f;1;1c0ser
Compton, Miss Sara Rebecca;39;C;1classPass;14;;f;1;1c0ser
Compton, Mr. Alexander Taylor Jr.;37;C;1classPass;;;m;1;1c0ser
Cornell, Mrs. Malvina Helen (née Lamson);55;S;1classPass;2;;f;1;1c0ser
Crafton, Mr. John Bertram;59;S;1classPass;;;m;1;1c0ser
Crosby, Captain Edward;70;S;1classPass;;269MB;m;1;1c0ser
Crosby, Mrs. Catherine Elizabeth (née Halstead);64;S;1classPass;7;;f;1;1c0ser
Crosby, Miss Harriette Rebecca;39;S;1classPass;8;;f;1;1c0ser
Cumings, Mr. John Bradley;39;C;1classPass;;;m;1;1c0ser
Cumings, Mrs. Florence Briggs (née Thayer);35;C;1classPass;4;;f;1;1c0ser
Daly, Mr. Peter Dennis;51;S;1classPass;A;;m;1;1c0ser
Daniel, Mr. Robert Williams;27;S;1classPass;3;;m;1;1c0ser
Davidson, Mr. Thornton;31;S;1classPass;;;m;1;1c0ser
Davidson, Mrs. Orian (née Hays);27;S;1classPass;3;;f;1;1c0ser
Dick, Mr. Albert Adrian;31;S;1classPass;3;;m;1;1c0ser
Dick, Mrs. Vera (née Gillespie);17;S;1classPass;3;;f;1;1c0ser
Dodge, Dr. Washington;52;S;1classPass;13;;m;1;1c0ser
Dodge, Mrs. Ruth (née Vidaver);34;S;1classPass;5;;f;1;1c0ser
Dodge, Master Washington, Jr.;4;S;1classPass;5;;m;1;1c0ser
Douglas, Mr. Walter Donald;50;C;1classPass;;62MB;m;1;1c0ser
Douglas, Mrs. Mary Hélène (née Baxter);27;C;1classPass;6;;f;1;1c0ser
Duff Gordon, Sir Cosmo Edmund;49;C;1classPass;1;;m;1;1c0ser
Dulles, Mr. William Crothers;39;C;1classPass;;133MB;m;1;1c0ser
Eustis, Miss Elizabeth Mussey;54;C;1classPass;4;;f;1;1c0ser
Evans, Miss Edith Corse;36;C;1classPass;;;f;1;1c0ser
Flegenheim, Mrs. Antoinette (née Wendt);48;C;1classPass;7;;f;1;1c0ser
Flynn, Mr. John Irwin;36;S;1classPass;5;;m;1;1c0ser
Foreman, Mr. Benjamin Laventall;30;S;1classPass;;;m;1;1c0ser
Fortune, Mr. Mark;64;S;1classPass;;;m;1;1c0ser
Fortune, Mrs. Mary (née McDougald);60;S;1classPass;10;;f;1;1c0ser
Fortune, Miss Ethel Flora;28;S;1classPass;10;;f;1;1c0ser
Fortune, Miss Alice Elizabeth;24;S;1classPass;10;;f;1;1c0ser
Fortune, Miss Mabel Helen;23;S;1classPass;10;;f;1;1c0ser
Fortune, Mr. Charles Alexander;19;S;1classPass;;;m;1;1c0ser
Franklin, Mr. Thomas Parnham;37;S;1classPass;;;m;1;1c0ser
Frauenthal, Dr. Henry William;49;S;1classPass;5;;m;1;1c0ser
Frauenthal, Mrs. Clara (née Heinsheimer);42;S;1classPass;5;;f;1;1c0ser
Frauenthal, Mr. Isaac Gerald;43;S;1classPass;5;;m;1;1c0ser
Frölicher, Mr. Maximilian Josef;60;C;1classPass;5;;m;1;1c0ser
Frölicher, Mrs. Margaretha Emerentia (née Stehli);48;C;1classPass;5;;f;1;1c0ser
Frölicher-Stehli, Miss Hedwig Margaritha;22;C;1classPass;5;;f;1;1c0ser
Futrelle, Mr. Jacques Heath;37;S;1classPass;;;m;1;1c0ser
Futrelle, Mrs. Lily May (née Peel);35;S;1classPass;D;;f;1;1c0ser
Gee, Mr. Arthur H.;47;S;1classPass;;275MB;m;1;1c0ser
Gibson, Mrs. Pauline Caroline (née Boeson);44;C;1classPass;;;f;1;1c0ser
Gibson, Miss Dorothy Winifred;22;C;1classPass;7;;f;1;1c0ser
Goldenberg, Mr. Samuel L.;47;C;1classPass;5;;m;1;1c0ser
Goldenberg, Mrs. Nella (née Wiggins);40;C;1classPass;;;f;1;1c0ser
Goldschmidt, Mr. George B.;71;C;1classPass;;;m;1;1c0ser
Gracie IV, Colonel Archibald;53;S;1classPass;B;;m;1;1c0ser
Graham, Mr. George Edward;38;S;1classPass;;147MB;m;1;1c0ser
Graham, Mrs. Edith Ware (née Junkins);59;S;1classPass;3;;f;1;1c0ser
Greenfield, Mrs. Blanche (née Strouse);45;C;1classPass;7;;f;1;1c0ser
Greenfield, Mr. William Bertram;23;C;1classPass;7;;m;1;1c0ser
Harder, Mr. George Achilles;25;C;1classPass;5;;m;1;1c0ser
Harder, Mrs. Dorothy (née Annan);21;C;1classPass;5;;f;1;1c0ser
Harper, Mrs. Myna (née Haxtun);49;C;1classPass;3;;f;1;1c0ser
Harris, Mr. Henry Birkhardt;45;S;1classPass;;;m;1;1c0ser
Harris, Mrs. Irene (née Wallach);35;S;1classPass;D;;f;1;1c0ser
Hawksford, Mr. Walter James;45;S;1classPass;3;;m;1;1c0ser
Hays, Miss Margaret Bechstein;24;C;1classPass;7;;f;1;1c0ser
Head, Mr. Christopher;42;S;1classPass;;;m;1;1c0ser
Hilliard, Mr. Herbert Henry;44;S;1classPass;;;m;1;1c0ser
Hipkins, Mr. William Edward;55;S;1classPass;;;m;1;1c0ser
Hippach, Mrs. Ida Sophia (née Fischer);44;C;1classPass;4;;f;1;1c0ser
Hippach, Miss Jean Gertrude;17;C;1classPass;4;;f;1;1c0ser
Hogeboom, Mrs. Anna Louisa (née Andrews);51;C;1classPass;10;;f;1;1c0ser
Holverson, Mr. Alexander Oskar;42;S;1classPass;;38MB;m;1;1c0ser
Holverson, Mrs. Mary Aline (née Towner);35;S;1classPass;8;;f;1;1c0ser
Homer, Mr. Harry (alias E. Haven);40;S;1classPass;15;;m;1;1c0ser
Hoyt, Mr. Frederick Maxfield;35;S;1classPass;D;;m;1;1c0ser
Hoyt, Mrs. Jane Anne (née Forby);31;S;1classPass;D;;f;1;1c0ser
Hoyt, Mr. William Fisher;42;C;1classPass;;;m;1;1c0ser
Isham, Miss Ann Elizabeth;50;C;1classPass;;;f;1;1c0ser
Jones, Mr. Charles Cresson;46;S;1classPass;;80MB;m;1;1c0ser
Julian, Mr. Henry Forbes;50;S;1classPass;;;m;1;1c0ser
Kent, Mr. Edward Austin;58;C;1classPass;;258MB;m;1;1c0ser
Kenyon, Mr. Frederick R.;41;S;1classPass;;;m;1;1c0ser
Kenyon, Mrs. Marion (née Stauffer)[66][72];31;S;1classPass;8;;f;1;1c0ser
Kimball, Mr. Edwin Nelson Jr.;42;S;1classPass;5;;m;1;1c0ser
Kimball, Mrs. Gertrude (née Parsons);45;S;1classPass;5;;f;1;1c0ser
Klaber, Mr. Herman;45;S;1classPass;;;m;1;1c0ser
Lambert-Williams, Mr. Fletcher Fellows;43;S;1classPass;;;m;1;1c0ser
Leader, Dr. Alice (née Farnham);49;S;1classPass;8;;f;1;1c0ser
Lewy, Mr. Ervin G.;31;C;1classPass;;;m;1;1c0ser
Lindeberg-Lind, Mr. Erik Gustav (alias Edward Lingrey);42;S;1classPass;;;m;1;1c0ser
Lindström, Mrs. Sigrid (née Posse);55;C;1classPass;6;;f;1;1c0ser
Lines, Mrs. Elizabeth Lindsey (née James);50;C;1classPass;9;;f;1;1c0ser
Lines, Miss Mary Conover;16;C;1classPass;9;;f;1;1c0ser
Long, Mr. Milton Clyde;29;S;1classPass;;126MB;m;1;1c0ser
Longley, Miss Gretchen Fiske;21;C;1classPass;10;;f;1;1c0ser
Loring, Mr. Joseph Holland;30;S;1classPass;;;m;1;1c0ser
Madill, Miss Georgette Alexandra;16;S;1classPass;2;;f;1;1c0ser
Maguire, Mr. John Edward;30;S;1classPass;;;m;1;1c0ser
Maréchal, Mr. Pierre, Sr.;28;C;1classPass;7;;m;1;1c0ser
Marvin, Mr. Daniel Warner;18;S;1classPass;;;m;1;1c0ser
Marvin, Mrs. Mary Graham Carmichael (née Farquarson)[66][74];18;S;1classPass;10;;f;1;1c0ser
Mayné, Miss Bertha Antonine;24;C;1classPass;6;;f;1;1c0ser
McCaffry, Mr. Thomas Francis;46;S;1classPass;;292MB;m;1;1c0ser
McCarthy, Mr. Timothy J.;54;S;1classPass;;175MB;m;1;1c0ser
McGough, Mr. James Robert;35;S;1classPass;7;;m;1;1c0ser
Meyer, Mr. Edgar Joseph;28;C;1classPass;;;m;1;1c0ser
Meyer, Mrs. Leila (née Saks);25;C;1classPass;6;;f;1;1c0ser
Millet, Mr. Francis Davis;63;C;1classPass;;249MB;m;1;1c0ser
Minahan, Dr. William Edward;44;S;1classPass;;230MB;m;1;1c0ser
Minahan, Mrs. Lillian E. (née Thorpe);37;S;1classPass;14;;f;1;1c0ser
Minahan, Miss Daisy E.;33;S;1classPass;14;;f;1;1c0ser
Mock, Mr. Philipp Edmund;30;C;1classPass;11;;m;1;1c0ser
Molson, Mr. Harry Markland;55;S;1classPass;;;m;1;1c0ser
Natsch, Mr. Charles;36;C;1classPass;;;m;1;1c0ser
Newell, Mr. Arthur Webster;58;C;1classPass;;122MB;m;1;1c0ser
Newell, Miss Madeleine;31;C;1classPass;6;;f;1;1c0ser
Newell, Miss Marjorie Anne;23;C;1classPass;6;;f;1;1c0ser
Newsom, Miss Helen Monypeny;19;S;1classPass;5;;f;1;1c0ser
Nicholson, Mr. Arthur Ernest;64;S;1classPass;;263MB;m;1;1c0ser
Nourney, Mr. Alfred[75][76];20;C;1classPass;7;;m;1;1c0ser
Omont, Mr. Alfred Fernand;29;C;1classPass;7;;m;1;1c0ser
Ostby, Mr. Engelhart Cornelius;64;S;1classPass;;234MB;m;1;1c0ser
Ostby, Miss Helene Ragnhild;22;S;1classPass;5;;f;1;1c0ser
Ovies y Rodriguez, Mr. Servando José Florentino;36;C;1classPass;;189MB;m;1;1c0ser
Parr, Mr. William Henry Marsh[64];29;B;1classPass;;;m;1;1c0ser
Partner, Mr. Austin;40;S;1classPass;;166MB;m;1;1c0ser
Pears, Mr. Thomas Clinton;29;S;1classPass;;;m;1;1c0ser
Pears, Mrs. Edith (née Wearne);22;S;1classPass;8;;f;1;1c0ser
Peñasco y Castellana, Mr. Victor;24;C;1classPass;;;m;1;1c0ser
Peuchen, Major Arthur Godfrey;52;S;1classPass;6;;m;1;1c0ser
Porter, Mr. Walter Chamberlain;46;S;1classPass;;207MB;m;1;1c0ser
Potter, Mrs. Lily Alexenia (née Wilson);56;C;1classPass;7;;f;1;1c0ser
Reuchlin, The Honourable Mr. Johan George;38;S;1classPass;;;m;1;1c0ser
Rheims, Mr. George Alexander Lucien;36;S;1classPass;A;;m;1;1c0ser
Roebling, Mr. Washington Augustus II;31;S;1classPass;;;m;1;1c0ser
Romaine, Mr. Charles Hallance (alias C. Rolmane);45;S;1classPass;9;;m;1;1c0ser
Rood, Mr. Hugh Roscoe;38;S;1classPass;;;m;1;1c0ser
Rosenbaum, Miss Edith Louise;34;C;1classPass;11;;f;1;1c0ser
Rosenshine, Mr. George (alias George Thorne);46;C;1classPass;;16MB;m;1;1c0ser
Ross, Mr. John Hugo;36;S;1classPass;;;m;1;1c0ser
Rothschild, Mr. Martin;46;C;1classPass;;;m;1;1c0ser
Rothschild, Mrs. Elizabeth Jane Anne (née Barrett);54;C;1classPass;6;;f;1;1c0ser
Rowe, Mr. Alfred G.;59;S;1classPass;;109MB;m;1;1c0ser
Ryerson, Mr. Arthur Larned;61;C;1classPass;;;m;1;1c0ser
"Ryerson, Miss Susan Parker ""Suzette""";21;C;1classPass;4;;f;1;1c0ser
Ryerson, Miss Emily Borie;18;C;1classPass;4;;f;1;1c0ser
Saalfeld, Mr. Adolphe;47;S;1classPass;3;;m;1;1c0ser
Salomon, Mr. Abraham Lincoln;43;C;1classPass;1;;m;1;1c0ser
Schabert, Mrs. Emma (née Mock);35;S;1classPass;11;;f;1;1c0ser
Seward, Mr. Frederic Kimber;34;S;1classPass;7;;m;1;1c0ser
Silverthorne, Mr. Spencer Victor;35;S;1classPass;5;;m;1;1c0ser
Silvey, Mr. William Baird;50;C;1classPass;;;m;1;1c0ser
Silvey, Mrs. Alice (née Munger);39;C;1classPass;11;;f;1;1c0ser
Simonius-Blumer, Colonel Alfons;56;S;1classPass;3;;m;1;1c0ser
Sloper, Mr. William Thompson;28;S;1classPass;7;;m;1;1c0ser
Smart, Mr. John Montgomery;56;S;1classPass;;;m;1;1c0ser
Smith, Mr. James Clinch;56;C;1classPass;;;m;1;1c0ser
Smith, Mr. Lucien Philip;24;C;1classPass;;;m;1;1c0ser
Smith, Mrs. Mary Eloise (née Hughes)[66][77];18;C;1classPass;6;;f;1;1c0ser
Smith, Mr. Richard William;57;S;1classPass;;;m;1;1c0ser
Snyder, Mr. John Pillsbury;24;S;1classPass;7;;m;1;1c0ser
Snyder, Mrs. Nellie (née Stevenson);23;S;1classPass;7;;f;1;1c0ser
Spedden, Mr. Frederic Oakley;45;C;1classPass;3;;m;1;1c0ser
Spencer, Mr. William Augustus;57;C;1classPass;;;m;1;1c0ser
Stähelin-Maeglin, Dr. Max;32;S;1classPass;3;;m;1;1c0ser
Stead, Mr. William Thomas;62;S;1classPass;;;m;1;1c0ser
Stengel, Mr. Charles Emil Henry;54;C;1classPass;1;;m;1;1c0ser
Stengel, Mrs. Annie May (née Morris);44;C;1classPass;5;;f;1;1c0ser
Stephenson, Mrs. Martha (née Eustis);52;C;1classPass;4;;f;1;1c0ser
Stewart, Mr. Albert A.;54;C;1classPass;;;m;1;1c0ser
Sutton, Mr. Frederick;61;S;1classPass;;46MB;m;1;1c0ser
Swift, Mrs. Margaret Welles (née Barron);46;S;1classPass;8;;f;1;1c0ser
Taussig, Mr. Emil;52;S;1classPass;;;m;1;1c0ser
Taussig, Mrs. Tillie (née Mandelbaum);39;S;1classPass;8;;f;1;1c0ser
Taussig, Miss Ruth;18;S;1classPass;8;;f;1;1c0ser
Taylor, Mr. Elmer Zebley;48;S;1classPass;5;;m;1;1c0ser
Taylor, Mrs. Juliet Cummins (née Wright);50;S;1classPass;5;;f;1;1c0ser
Thayer, Mr. John Borland II;49;C;1classPass;;;m;1;1c0ser
