Name;Age;Boarded;Position;Lifeboat;Body;Sex;Class;Group
Brailey, Mr. W. Theodore Ronald[64];24;S;2classPass;;;m;2;2class
Bricoux, Mr. Roger Marie[64];20;S;2classPass;;;m;2;2class
Brito, Mr. José Joaquim;32;S;2classPass;;;m;2;2class
Brown, Mr. Thomas William Solomon;60;S;2classPass;;;m;2;2class
Brown, Mrs. Elizabeth Catherine (née Ford);40;S;2classPass;14;;f;2;2class
Brown, Miss Edith Eileen;15;S;2classPass;14;;m;2;2class
Bryhl, Mr. Kurt Arnold Gottfrid;25;S;2classPass;;;m;2;2class
Bryhl, Miss Dagmar Jenny Ingeborg;20;S;2classPass;12;;f;2;2class
Buss, Miss Kate;36;S;2classPass;9;;f;2;2class
Butler, Mr. Reginald Fenton;25;S;2classPass;;97MB;m;2;2class
Byles, Father Thomas Roussel Davids;42;S;2classPass;;;m;2;2class
Byström, Miss Karolina;42;S;2classPass;?;;f;2;2class
Caldwell, Mr. Albert Francis;26;S;2classPass;13;;m;2;2class
Caldwell, Mrs. Sylvia Mae (née Harbaugh);28;S;2classPass;13;;f;2;2class
Caldwell, Master Alden Gates;0,833;S;2classPass;13;;m;2;2class
Cameron, Miss Clear Annie;35;S;2classPass;14;;f;2;2class
Campbell, Mr. William Henry[64];21;B;2classPass;;;m;2;2class
Carbines, Mr. William;19;S;2classPass;;18MB;m;2;2class
Carter, Father Ernest Courtenay;54;S;2classPass;;;m;2;2class
Carter, Mrs. Lilian (née Hughes);45;S;2classPass;;;f;2;2class
Chapman, Mr. Charles Henry;52;S;2classPass;;130MB;m;2;2class
Chapman, Mr. John Henry;36;S;2classPass;;17MB;m;2;2class
Chapman, Mrs. Sara Elizabeth (née Lawry);28;S;2classPass;;;m;2;2class
Christy, Mrs. Alice Frances;45;S;2classPass;12;;f;2;2class
Christy, Miss Rachel Julie Cohen;25;S;2classPass;12;;f;2;2class
Clarke, Mr. Charles Valentine;29;S;2classPass;;;m;2;2class
Clarke, Mrs. Ada Maria;28;S;2classPass;14;;f;2;2class
Clarke, Mr. John Frederick Preston[64];30;S;2classPass;;202MB;m;2;2class
Coleridge, Mr. Reginald Charles;29;S;2classPass;;;m;2;2class
Collander, Mr. Erik Gustaf;27;S;2classPass;;;m;2;2class
Collett, Mr. Sidney Clarence Stuart;25;S;2classPass;9;;m;2;2class
Collyer, Mr. Harvey;31;S;2classPass;;;m;2;2class
Collyer, Mrs. Charlotte Annie (née Tate);31;S;2classPass;14;;f;2;2class
"Collyer, Miss Marjorie Charlotte ""Lottie""";8;S;2classPass;14;;f;2;2class
Cook, Mrs. Selena (née Rogers);22;S;2classPass;14;;f;2;2class
Corbett, Mrs. Irene (née Colvin);30;S;2classPass;;;f;2;2class
Corey, Mrs. Mary Phyllis Elizabeth (née Miller);30;S;2classPass;;;f;2;2class
"Cotterill, Mr. Henry ""Harry""";20;S;2classPass;;;m;2;2class
Cunningham, Mr. Alfred Fleming[64];21;B;2classPass;;;m;2;2class
Davies, Mr. Charles Henry;21;S;2classPass;;;m;2;2class
Davies, Mrs. Elizabeth Agnes Mary (née White);48;S;2classPass;14;;f;2;2class
Davies, Master John Morgan Jr.;8;S;2classPass;14;;m;2;2class
Davis, Miss Mary;28;S;2classPass;13;;f;2;2class
Deacon, Mr. Percy William;20;S;2classPass;;;m;2;2class
del Carlo, Mr. Sebastiano;29;C;2classPass;;295MB;m;2;2class
del Carlo, Mrs. Argene (née Genovesi)[66][78];24;C;2classPass;11;;m;2;2class
"Denbuoy, Mr. Albert ""Herbert""";25;S;2classPass;;;m;2;2class
Dibden, Mr. William;18;S;2classPass;;;m;2;2class
Doling, Mrs. Ada Julia (née Bone);34;S;2classPass;?;;f;2;2class
Doling, Miss Elsie;19;S;2classPass;?;;f;2;2class
Douton, Mr. William Joseph;55;S;2classPass;;;m;2;2class
Drew, Mr. James Vivian;42;S;2classPass;;;m;2;2class
Drew, Mrs. Lulu Thorne (née Christian);34;S;2classPass;10;;f;2;2class
Drew, Master Marshall Brines;8;S;2classPass;10;;m;2;2class
Duran y More, Miss Florentina;30;C;2classPass;12;;f;2;2class
Duran y More, Miss Asunción;27;C;2classPass;12;;f;2;2class
Fahlstrøm, Mr. Arne Joma;18;Q;2classPass;;;m;2;2class
Faunthorpe, Mr. Harry Bartram;40;S;2classPass;;286MB;m;2;2class
Fillbrook, Mr. Joseph Charles;18;S;2classPass;;;m;2;2class
Fox, Mr. Stanley Hubert;38;S;2classPass;;236MB;m;2;2class
"Frost, Mr. Anthony Wood ""Artie""[64]";37;B;2classPass;;;m;2;2class
Funk, Miss Annie Clemmer;38;S;2classPass;;;f;2;2class
Fynney, Mr. Joseph J.;35;S;2classPass;322M;;m;2;2class
Gale, Mr. Harry;38;S;2classPass;;;m;2;2class
Gale, Mr. Shadrach;33;S;2classPass;;;m;2;2class
Garside, Miss Ethel;34;S;2classPass;12;;f;2;2class
Gaskell, Mr. William Alfred;18;S;2classPass;;;m;2;2class
Gavey, Mr. Laurence;26;S;2classPass;;;m;2;2class
Gilbert, Mr. William;47;S;2classPass;;;m;2;2class
Giles, Mr. Edgar;21;S;2classPass;;;m;2;2class
Giles, Mr. Frederick Edward;20;S;2classPass;;;m;2;2class
Giles, Mr. Ralph;25;S;2classPass;;297MB;m;2;2class
Gill, Mr. John William;24;S;2classPass;;155MB;m;2;2class
Gillespie, Mr. William Henry;34;S;2classPass;;;m;2;2class
Givard, Mr. Hans Kristensen;30;S;2classPass;;305MB;m;2;2class
Greenberg, Mr. Samuel;52;S;2classPass;;19MB;m;2;2class
Hale, Mr. Reginald;30;S;2classPass;;75MB;m;2;2class
Hämäläinen, Mrs. Anna (Anna Hamlin);24;S;2classPass;4;;f;2;2class
Hämäläinen, Master Viljo Unto Johannes (William Hamlin);1;S;2classPass;4;;m;2;2class
Harbeck, Mr. William H.;44;S;2classPass;;35MB;m;2;2class
Harper, The Reverend John;39;S;2classPass;;;m;2;2class
"Harper, Miss Annie Jessie ""Nina""";6;S;2classPass;11;;f;2;2class
Harris, Mr. George;62;S;2classPass;15;;m;2;2class
Harris, Mr. Walter;30;S;2classPass;;;m;2;2class
Hart, Mr. Benjamin;47;S;2classPass;;;m;2;2class
Hart, Mrs. Esther Ada (née Bloomfield);48;S;2classPass;14;;f;2;2class
Hart, Miss Eva Miriam;7;S;2classPass;14;;f;2;2class
Hartley, Mr. Wallace Henry[64];33;S;2classPass;;224MB;m;2;2class
Herman, Mr. Samuel;49;S;2classPass;;;m;2;2class
Herman, Mrs. Jane (née Laver);48;S;2classPass;9;;f;2;2class
Herman, Miss Alice;24;S;2classPass;9;;f;2;2class
Herman, Miss Kate;24;S;2classPass;9;;f;2;2class
Hewlett, Mrs. Mary Dunbar (née Kingcome);56;S;2classPass;13;;f;2;2class
Hickman, Mr. Lewis;30;S;2classPass;;256MB;m;2;2class
Hickman, Mr. Leonard Mark;24;S;2classPass;;;m;2;2class
Hickman, Mr. Stanley George;20;S;2classPass;;;m;2;2class
Hiltunen, Miss Martta;18;S;2classPass;;;f;2;2class
"Hocking, Mrs. Elizabeth ""Eliza"" (née Neads)";54;S;2classPass;4;;f;2;2class
Hocking, Mr. Richard George;23;S;2classPass;;;m;2;2class
"Hocking, Miss Ellen ""Nellie""";20;S;2classPass;4;;f;2;2class
Hocking, Mr. Samuel James Metcalfe;36;S;2classPass;;;m;2;2class
Hodges, Mr. Henry Price;50;S;2classPass;;149MB;m;2;2class
Hold, Mr. Stephen;44;S;2classPass;;;m;2;2class
Hold, Mrs. Annie Margaret (née Hill);29;S;2classPass;10;;f;2;2class
Hood, Mr. Ambrose Jr.;21;S;2classPass;;;m;2;2class
Hosono, Mr. Masabumi;41;S;2classPass;10;;m;2;2class
Howard, Mr. Benjamin;63;S;2classPass;;;m;2;2class
Howard, Mrs. Ellen Truelove (née Arman);60;S;2classPass;;;f;2;2class
"Hume, Mr. John Law ""Jock""[64]";21;S;2classPass;;193MB;m;2;2class
Hunt, Mr. George Henry;33;S;2classPass;;;m;2;2class
Ilett, Miss Bertha;17;S;2classPass;?;;f;2;2class
Jacobsohn, Mr. Sidney Samuel;40;S;2classPass;;;m;2;2class
Jacobsohn, Mrs. Amy Frances Christy (née Cohen);24;S;2classPass;12;;f;2;2class
Jarvis, Mr. Denzil John;47;S;2classPass;;;m;2;2class
Jefferys, Mr. Clifford Thomas;24;S;2classPass;;;m;2;2class
Jefferys, Mr. Ernest Wilifred;22;S;2classPass;;;m;2;2class
Jenkin, Mr. Stephen Curnow;32;S;2classPass;;;m;2;2class
Jerwan, Mrs. Marie Marthe (née Thuillard);23;S;2classPass;11;;f;2;2class
Kantor, Mr. Sinai;34;S;2classPass;;283MB;m;2;2class
Kantor, Mrs. Miriam (née Sternin);24;S;2classPass;12;;f;2;2class
Karnes, Mrs. Claire (née Bennett);28;S;2classPass;;;m;2;2class
Keane, Mr. Daniel;35;Q;2classPass;;;m;2;2class
Keane, Miss Nora Agnes;46;Q;2classPass;10;;f;2;2class
"Kelly, Miss Florence ""Fannie""";45;S;2classPass;9;;f;2;2class
Kirkland, Reverend Charles Leonard;52;Q;2classPass;;;m;2;2class
Knight, Mr. Robert J.[64];39;B;2classPass;;;m;2;2class
Krins, Mr. Georges Alexandré[64];23;S;2classPass;;;m;2;2class
Kvillner, Mr. Johan Henrik Johannesson;31;S;2classPass;;165MB;m;2;2class
Lahtinen, Reverend William;35;S;2classPass;;;m;2;2class
Lahtinen, Mrs. Anna Amelia (née Sylfvén);26;S;2classPass;;;f;2;2class
Lamb, Mr. John Joseph;30;Q;2classPass;;;m;2;2class
Laroche, Mr. Joseph Philippe Lemercier;25;C;2classPass;;;m;2;2class
Laroche, Mrs. Juliette Marie Louise (née Lafargue)[66][79];22;C;2classPass;14;;f;2;2class
Laroche, Miss Simoné Marie Anne Andrée;3;C;2classPass;14;;f;2;2class
Laroche, Miss Louise Marguerite;1;C;2classPass;14;;f;2;2class
Lehmann, Miss Bertha;17;C;2classPass;12;;f;2;2class
Leitch, Miss Jessie Wills;31;S;2classPass;11;;f;2;2class
"Lemore, Mrs. Amelia ""Milley"" (née Hunt)";34;S;2classPass;14;;f;2;2class
Levy, Mr. René Jacques;36;C;2classPass;;;m;2;2class
Leyson, Mr. Robert William Norman;25;S;2classPass;;108MB;m;2;2class
Lingane, Mr. John;61;S;2classPass;;;m;2;2class
Louch, Mr. Charles Alexander;50;S;2classPass;;121MB;m;2;2class
Louch, Mrs. Alice Adelaide (née Slow);42;S;2classPass;14;;f;2;2class
Mack, Mrs. Mary (née Lacy);57;S;2classPass;;52MB;f;2;2class
Malachard, Mr. Jean-Noël;25;C;2classPass;;;m;2;2class
Mallet, Mr. Albert;31;C;2classPass;;;m;2;2class
Mallet, Mrs. Antoinette Marie (née Magnin);24;C;2classPass;10;;f;2;2class
Mallet, Master André Clément;1;C;2classPass;10;;m;2;2class
Mangiavacchi, Mr. Serafino Emilio;30;C;2classPass;;;m;2;2class
Matthews, Mr. William John;30;S;2classPass;;;m;2;2class
Maybery, Mr. Frank Hubert;36;S;2classPass;;;m;2;2class
McCrae, Mr. Arthur Gordon;32;S;2classPass;;209MB;m;2;2class
McCrie, Mr. James Matthew;32;S;2classPass;;;m;2;2class
McKane, Mr. Peter David;46;S;2classPass;;;m;2;2class
Mellinger, Mrs. Elizabeth Anne (née Maidment);41;S;2classPass;14;;f;2;2class
Mellinger, Miss Madeleine Violet;13;S;2classPass;14;;f;2;2class
Mellors, Mr. William John;19;S;2classPass;B;;m;2;2class
Meyer, Mr. August;31;S;2classPass;;;m;2;2class
Milling, Mr. Jacob Christian;48;S;2classPass;;271MB;m;2;2class
Mitchell, Mr. Henry Michael;71;S;2classPass;;;m;2;2class
Montvila, Father Juozas;27;S;2classPass;;;m;2;2class
Moraweck, Dr. Ernest;54;S;2classPass;;;m;2;2class
Morley, Mr. Henry Samuel (alias Mr. Henry Marshall);38;S;2classPass;;;m;2;2class
Mudd, Mr. Thomas Charles;16;S;2classPass;;;m;2;2class
Myles, Mr. Thomas Francis;63;Q;2classPass;;;m;2;2class
Nassr Allah, Mr. Niqula Khalil;28;C;2classPass;;43MB;m;2;2class
Nassr Allah, Mrs. Adal (née Akim)[66][81];14;C;2classPass;?;;f;2;2class
Navratil, Mr. Michel (alias Louis M. Hoffman);32;S;2classPass;;15MB;m;2;2class
Navratil, Master Michel Marcel;3;S;2classPass;D;;m;2;2class
Navratil, Master Edmond Roger;2;S;2classPass;D;;m;2;2class
Nesson, Mr. Israel;26;S;2classPass;;;m;2;2class
"Nicholls, Mr. Joseph Charles ""Joe""";19;S;2classPass;;101MB;m;2;2class
Norman, Mr. Robert Douglas;28;S;2classPass;;287MB;m;2;2class
Nye, Mrs. Elizabeth (née Ramell);29;S;2classPass;11;;f;2;2class
Otter, Mr. Richard;39;S;2classPass;;;m;2;2class
Oxenham, Mr. Percy Thomas;22;S;2classPass;13;;m;2;2class
Padron Manent, Mr. Julian;26;C;2classPass;9;;m;2;2class
"Pain, Dr. Alfred ""Alf""";23;S;2classPass;;;m;2;2class
Pallas y Castello, Mr. Emilio;29;C;2classPass;9;;m;2;2class
Parker, Mr. Clifford Richard;28;S;2classPass;;;m;2;2class
"Parkes, Mr. Francis ""Frank""[64]";18;B;2classPass;;;m;2;2class
Parrish, Mrs. Lutie Davis (née Temple);60;S;2classPass;12;;f;2;2class
Pengelly, Mr. Frederick William;19;S;2classPass;;;m;2;2class
Peruschitz, Father Josef;28;S;2classPass;;;m;2;2class
Phillips, Mr. Escott Robert;42;S;2classPass;;;m;2;2class
Phillips, Miss Alice Frances Louisa;21;S;2classPass;12;;f;2;2class
Phillips, Miss Kate Florence (alias Mrs. Kate Marshall)[10][82];19;S;2classPass;11;;f;2;2class
Pinsky, Mrs. Rosa;21;S;2classPass;9;;f;2;2class
Ponesell, Mr. Martin;34;S;2classPass;;;m;2;2class
Portaluppi, Mr. Emilio Ilario Giuseppe;34;S;2classPass;14;;m;2;2class
Pulbaum, Mr. Franz;27;S;2classPass;;;m;2;2class
Quick, Mrs. Jane (née Richards);33;S;2classPass;11;;f;2;2class
Quick, Miss Winnifred Vera;8;S;2classPass;11;;f;2;2class
Quick, Miss Phyllis May;2;S;2classPass;11;;f;2;2class
Reeves, Mr. David;36;S;2classPass;;;m;2;2class
Renouf, Mr. Peter Henry;33;S;2classPass;;;m;2;2class
"Renouf, Mrs. Lillian ""Lily"" (née Jefferys)";30;S;2classPass;12;;f;2;2class
Reynaldo, Miss Encarnación;28;S;2classPass;9;;f;2;2class
Richard, Mr. Emile Philippe;23;C;2classPass;;;m;2;2class
Richards, Mrs. Emily (née Hocking);23;S;2classPass;4;;f;2;2class
Richards, Master William Rowe;3;S;2classPass;4;;m;2;2class
Richards, Master Sibley George;0,75;S;2classPass;4;;m;2;2class
Ridsdale, Miss Lucy;50;S;2classPass;13;;f;2;2class
Rogers, Mr. Reginald Harry;18;S;2classPass;;;m;2;2class
Rugg, Miss Emily;21;S;2classPass;12;;f;2;2class
Schmidt, Mr. August;26;S;2classPass;;;m;2;2class
Sedgwick, Mr. Charles Frederick Waddington;25;S;2classPass;;;m;2;2class
Sharp, Mr. Percival James;27;S;2classPass;;;m;2;2class
Shelley, Mrs. Imanita (née Parrish Hall);25;S;2classPass;12;;f;2;2class
Silvén, Miss Lyyli Karolina;17;S;2classPass;16;;f;2;2class
Sincock, Miss Maude;20;S;2classPass;11;;f;2;2class
Sinkkonen, Miss Anna;30;S;2classPass;10;;f;2;2class
Sjöstedt, Mr. Ernst Adolf;30;S;2classPass;10;;m;2;2class
Slayter, Miss Hilda Mary;30;Q;2classPass;13;;f;2;2class
Slemen, Mr. Richard James;35;S;2classPass;;;m;2;2class
Smith, Miss Marion Elsie;39;S;2classPass;9;;f;2;2class
Sobey, Mr. Samuel James Hayden;25;S;2classPass;;;m;2;2class
Stanton, Mr. Samuel Ward;42;S;2classPass;;;m;2;2class
Stokes, Mr. Philip Joseph;25;S;2classPass;;81MB;m;2;2class
Sweet, Mr. George Frederick;14;S;2classPass;;;m;2;2class
Taylor, Mr. Percy Cornelius[64];32;S;2classPass;;;m;2;2class
Toomey, Miss Ellen Mary;48;S;2classPass;9;;f;2;2class
Troupiansky, Mr. Moses Aaron;23;S;2classPass;;;m;2;2class
Trout, Mrs. Jessie L.;26;S;2classPass;9;;f;2;2class
"Troutt, Miss Edwina Celia ""Winnie""";27;S;2classPass;16;;f;2;2class
Turpin, Mr. William John Robert;29;S;2classPass;;;m;2;2class
Turpin, Mrs. Dorothy Ann (née Wonnacott);27;S;2classPass;;;f;2;2class
Veal, Mr. James;40;S;2classPass;;;m;2;2class
"Wallcroft, Miss Ellen ""Nellie""";36;S;2classPass;14;;f;2;2class
Ware, Mr. John James;45;S;2classPass;;;m;2;2class
Ware, Mrs. Florence Louise (née Long);31;S;2classPass;10;;f;2;2class
Ware, Mr. William Jeffery;23;S;2classPass;;;m;2;2class
Watson, Mr. Ennis Hastings[64];15;B;2classPass;;;m;2;2class
"Watt, Mrs. Elizabeth Inglis ""Bessie"" (née Milne)";40;S;2classPass;9;;f;2;2class
"Watt, Miss Robertha Josephine ""Bertha""";12;S;2classPass;9;;f;2;2class
Webber, Miss Susan;37;S;2classPass;12;;f;2;2class
Weisz, Mr. Leopold;28;S;2classPass;;293MB;m;2;2class
Weisz, Mrs. Mathilde Françoise (née Pëde);37;S;2classPass;10;;f;2;2class
Wells, Mrs. Addie Dart (née Trevaskis);29;S;2classPass;14;;f;2;2class
Wells, Miss Joan;4;S;2classPass;14;;f;2;2class
Wells, Master Ralph Lester;2;S;2classPass;14;;m;2;2class
West, Mr. Edwy Arthur;36;S;2classPass;;;m;2;2class
West, Mrs. Ada Mary (née Worth)[66][83];33;S;2classPass;10;;f;2;2class
West, Miss Constance Mirium;4;S;2classPass;10;;f;2;2class
West, Miss Barbara Joyce;0,833;S;2classPass;10;;f;2;2class
Wheadon, Mr. Edward H.;66;S;2classPass;;;m;2;2class
"Wheeler, Mr. Edwin Charles ""Fred""";24;S;2classPass;;;m;2;2class
Whilems, Mr. Charles;32;S;2classPass;9;;m;2;2class
Wilkinson, Miss Elizabeth Anne (alias Mrs. Elizabeth Faunthorpe);29;S;2classPass;16;;f;2;2class
Williams, Mr. Charles Eugene;23;S;2classPass;14;;m;2;2class
Woodward, Mr. John Wesley[64];32;S;2classPass;;;m;2;2class
Wright, Miss Marion;26;S;2classPass;9;;f;2;2class
Yvois, Miss Henriette;24;S;2classPass;;;m;2;2class
Abbing, Mr. Anthony;40;S;3classPass;;;m;3;3class
Abbott, Mrs. Rhoda Mary (née Hunt);39;S;3classPass;A;;f;3;3class
Abbott, Mr. Rossmore Edward;16;S;3classPass;;190MB;m;3;3class
Abbott, Mr. Eugene Joseph;14;S;3classPass;;;m;3;3class
Abd al-Khaliq, Mr. Farid Qasim Husayn;18;C;3classPass;;;m;3;3class
Abelseth, Miss Karen Marie;16;S;3classPass;16;;f;3;3class
Abelseth, Mr. Olaus Jørgensen;25;S;3classPass;A;;m;3;3class
Abrahamsson, Mr. Abraham August Johannes;20;S;3classPass;15;;m;3;3class
Abrahim, Mrs. Mary Sophie Halaut (née Easu);18;C;3classPass;C;;f;3;3class
Adahl, Mr. Mauritz Nils Martin;30;S;3classPass;;72MB;m;3;3class
Adams, Mr. John;26;S;3classPass;;103MB;m;3;3class
Ahlin, Mrs. Johanna Persdotter (née Larsson);40;S;3classPass;;;m;3;3class
Aks, Mrs. Leah (née Rosen);18;S;3classPass;13;;f;3;3class
Aks, Master Frank Philip;0,833;S;3classPass;11;;m;3;3class
Al-Muna, Mr. Nasif Qasim;26;C;3classPass;15;;m;3;3class
Alexander, Mr. William;23;S;3classPass;;;m;3;3class
Alhomäki, Mr. Ilmari Rudolf;19;S;3classPass;;;m;3;3class
Ali, Mr. Ahmed;24;S;3classPass;;;m;3;3class
Ali, Mr. William;25;S;3classPass;;79MB;m;3;3class
Allen, Mr. William Henry;35;S;3classPass;;;m;3;3class
Allum, Mr. Owen George;15;S;3classPass;;259MB;m;3;3class
Al-Zainni, Mr. Fahim Ruhanna;22;C;3classPass;6;;m;3;3class
Andersen, Mr. Albert Karvin;33;S;3classPass;;260MB;m;3;3class
Andersen-Jensen, Miss Carla Christine;19;S;3classPass;16;;f;3;3class
Andersson, Mr. Anders Johan;39;S;3classPass;;;m;3;3class
Andersson, Mrs. Alfrida Konstantia (née Brogren);39;S;3classPass;;;f;3;3class
Andersson, Miss Sigrid Elisabeth;11;S;3classPass;;;f;3;3class
Andersson, Miss Ingeborg Constanzia;9;S;3classPass;;;f;3;3class
Andersson, Miss Ebba Iris Alfrida;6;S;3classPass;;;f;3;3class
Andersson, Master Sigvard Harald Elias;4;S;3classPass;;;m;3;3class
Andersson, Miss Ellis Anna Maria;2;S;3classPass;;;f;3;3class
Andersson, Miss Erna Alexandra;17;S;3classPass;D;;f;3;3class
Andersson, Miss Ida Augusta Margareta;38;S;3classPass;;;f;3;3class
Andersson, Mr. Johan Samuel;26;S;3classPass;;;m;3;3class
Andreasson, Mr. Paul Edvin;20;S;3classPass;;;m;3;3class
Angheloff, Mr. Minko;26;S;3classPass;;;m;3;3class
Arnold-Franchi, Mr. Josef;25;S;3classPass;;;m;3;3class
Arnold-Franchi, Mrs. Josefine (née Franchi);18;S;3classPass;;;f;3;3class
Aronsson, Mr. Ernst Axel Algot;24;S;3classPass;;;m;3;3class
Asim, Mr. Adola;35;S;3classPass;;;m;3;3class
Asplund, Mr. Carl Oscar Vilhelm Gustafsson;40;S;3classPass;;142MB;m;3;3class
Asplund, Mrs. Selma Augusta Emilia (née Johansson);38;S;3classPass;15;;f;3;3class
Asplund, Master Filip Oscar;13;S;3classPass;;;m;3;3class
Asplund, Master Clarence Gustaf Hugo;9;S;3classPass;;;m;3;3class
Asplund, Master Carl Edgar;5;S;3classPass;;;m;3;3class
Asplund, Miss Lillian Gertrud;5;S;3classPass;15;;f;3;3class
Asplund, Master Edvin Rojj Felix;3;S;3classPass;15;;m;3;3class
Asplund, Mr. Johan Charles;23;S;3classPass;13;;m;3;3class
Assaf, Mrs. Mariyam (née Khalil);45;C;3classPass;C;;f;3;3class
Assam, Mr. Ali;23;S;3classPass;;;m;3;3class
Attala, Mr. Sleiman;30;C;3classPass;;;m;3;3class
Atta Allah, Miss Malakah;17;C;3classPass;;;m;3;3class
Augustsson, Mr. Albert;23;S;3classPass;;;m;3;3class
Ayyub Dahir, Miss Bannurah;15;C;3classPass;C;;f;3;3class
Bakus, Mr. Raful;20;C;3classPass;;;m;3;3class
Backström, Mr. Karl Alfred;32;S;3classPass;;;m;3;3class
Backström, Mrs. Maria Mathilda (née Gustafsson)[66][84];33;S;3classPass;D;;f;3;3class
Badman, Miss Emily Louisa;18;S;3classPass;C;;f;3;3class
Badt, Mr. Mohamed;40;C;3classPass;;;m;3;3class
Baki?, Mr. Kerim;26;S;3classPass;;;m;3;3class
Banski, Mrs. Mara (née Osman);31;S;3classPass;?;;f;3;3class
Baqlini, Mrs. Mariyam Latifa (née Qurban);24;C;3classPass;C;;f;3;3class
Baqlini, Miss Mariya Katarin;5;C;3classPass;;;f;3;3class
Baqlini, Miss Eujini;4;C;3classPass;;;f;3;3class
Baqlini, Miss Hileni Barbarah;0,75;C;3classPass;;;f;3;3class
Barbarah, Mrs. Katarin Dawud;45;C;3classPass;;;f;3;3class
Barbarah, Miss Saidah;18;C;3classPass;;;f;3;3class
Barry, Miss Julia;26;Q;3classPass;;;f;3;3class
Barton, Mr. David John;22;S;3classPass;;;m;3;3class
Beavan, Mr. William Thomas;18;S;3classPass;;;m;3;3class
Bengtsson, Mr. Johan Viktor;26;S;3classPass;;;m;3;3class
Berglund, Mr. Karl Ivar Sven;22;S;3classPass;;;m;3;3class
Betros, Mr. Tannous;20;C;3classPass;;;m;3;3class
Birkeland, Mr. Hans Martin Monsen;21;S;3classPass;;;m;3;3class
Björklund, Mr. Ernst Herbert;18;S;3classPass;;;m;3;3class
Bostandyeff, Mr. Guentcho;26;S;3classPass;;;m;3;3class
Bourke, Mr. John;42;Q;3classPass;;;m;3;3class
Bourke, Mrs. Catherine (née McHugh);32;Q;3classPass;;;f;3;3class
Bourke, Miss Mary;40;Q;3classPass;;;f;3;3class
"Bowen, Mr. David John ""Dai""";20;S;3classPass;;;m;3;3class
Bradley, Miss Bridget Delia;22;Q;3classPass;13;;f;3;3class
Braf, Miss Elin Ester Maria;20;S;3classPass;;;m;3;3class
Braund, Mr. Lewis Richard;29;S;3classPass;;;m;3;3class
Braund, Mr. Owen Harris;22;S;3classPass;;;m;3;3class
Brobeck, Mr. Karl Rudolf;22;S;3classPass;;;m;3;3class
Brocklebank, Mr. William Alfred;35;S;3classPass;;;m;3;3class
Buckley, Mr. Daniel;21;Q;3classPass;13;;m;3;3class
Buckley, Miss Catherine;22;Q;3classPass;;299MB;f;3;3class
Bulus, Mrs. Sultanah (née Rizq);40;C;3classPass;;;f;3;3class
Bulus, Master Akar;9;C;3classPass;;;m;3;3class
Bulus, Miss Nur-al-Ayn;7;C;3classPass;;;f;3;3class
Burke, Mr. Jeremiah;19;Q;3classPass;;;m;3;3class
Burns, Miss Mary Delia;17;Q;3classPass;;;f;3;3class
Butrus-Youssef, Mrs. Katarin (née Rizk);24;C;3classPass;C;;f;3;3class
Butrus-Youssef, Master Makhkhul;4;C;3classPass;D;;m;3;3class
Butrus-Youssef, Miss Marianna;2;C;3classPass;C;;f;3;3class
?a?i?, Mr. Jego Grga;18;S;3classPass;;;m;3;3class
?a?i?, Mr. Luka;38;S;3classPass;;;m;3;3class
?a?i?, Miss Marija;30;S;3classPass;;;f;3;3class
?a?i?, Miss Manda;21;S;3classPass;;;f;3;3class
?ali?, Mr. Jovo;17;S;3classPass;;;m;3;3class
?ali?, Mr. Petar;17;S;3classPass;;;m;3;3class
Canavan, Miss Mary;22;Q;3classPass;;;f;3;3class
"Canavan, Mr. Patrick ""Peter""";21;Q;3classPass;;;m;3;3class
Cann, Mr. Ernest Charles;21;S;3classPass;;;m;3;3class
Caram, Mr. Joseph;28;C;3classPass;;28MB[86];m;3;3class
Caram, Mrs. Maria (née Elias);18;C;3classPass;;;f;3;3class
Carlsson, Mr. Carl Robert;24;S;3classPass;;;m;3;3class
Carlsson, Mr. August Sigfrid;24;S;3classPass;;;m;3;3class
Carr, Miss Jane;47;Q;3classPass;;;f;3;3class
Carver, Mr. Alfred John;28;S;3classPass;;;m;3;3class
Celotti, Mr. Francesco;24;S;3classPass;;;m;3;3class
Chang, Mr. Chip;32;S;3classPass;C;;m;3;3class
Charters, Mr. David;28;Q;3classPass;;;m;3;3class
Cheong, Mr. Foo;32;S;3classPass;C;;m;3;3class
Christmann, Mr. Emil;29;S;3classPass;;;m;3;3class
Chronopoulos, Mr. Apostolos;26;C;3classPass;;;m;3;3class
Chronopoulos, Mr. Dimitrios;18;C;3classPass;;;m;3;3class
Coelho, Mr. Domingos Fernandes;20;S;3classPass;;;m;3;3class
"Cohen, Mr. Gershon ""Gus""";18;S;3classPass;12;;m;3;3class
Colbert, Mr. Patrick;24;Q;3classPass;;;m;3;3class
Coleff, Mr. Fotio;24;S;3classPass;;;m;3;3class
Coltcheff, Mr. Peju;36;S;3classPass;;;m;3;3class
Conlon, Mr. Thomas Henry;31;Q;3classPass;;;m;3;3class
Connaghton, Mr. Michael;31;Q;3classPass;;;m;3;3class
"Connolly, Miss Catherine ""Kate""";35;Q;3classPass;;;f;3;3class
"Connolly, Miss Katherine ""Kate""";22;Q;3classPass;13;;f;3;3class
Connors, Mr. Patrick John;61;Q;3classPass;;171MB;m;3;3class
Cook, Mr. Jacob;43;S;3classPass;;;m;3;3class
(Kukk, Mr. Jakob?);43;S;3classPass;;;m;3;3class
